"cityName","UdiseCode","SchName","SchMgmt","SchCat","DistrictCode","BlockCode","BlockName","ClusterCode","ClusterName","VillageCode","VillageName","SchLocation","BldStatus","No_Bldg_Blks_Sch_Tot","Pucca_Bldg","Part_Pucca","Kuchcha_Bldg","Tent","Dilap_Bldg","Bldg_UnderCons","BoundWall_Type","Clsrm_UsedforInstPurp","Clsrm_UnderCons","Clsrm_DilapCond","Clsrm_InstPurp_Pre-Pri","Clsrm_InstPurp_Pri","Clsrm_InstPurp_UprPri","Clsrm_InstPurp_Sec","Clsrm_InstPurp_HighSec","OtherRooms","Pucca_GudCond","Pucca_MinRep","Pucca_MajRep","PartPucca_GudCond","PartPucca_MinRep","PartPucca_MajRep","Kuchcha_GudCond","Kuchcha_MinRep","Kuchcha_MajRep","Tent_GudCond","Tent_MinRep","Tent_MajRep","LandAvail_Exp_SchFacl","HT/Princ_SepRoom_Avail","SchToilet","Toilet_ExclCWSN_B_Tot","Toilet_ExclCWSN_B_Func","Toilet_ExclCWSN_G_Tot","Toilet_ExclCWSN_G_Func","Toilet_CWSN_B_Tot","Toilet_CWSN_B_Func","Toilet_CWSN_G_Tot","Toilet_CWSN_G_Func","Urnl_B_Tot","Urnl_B_Func","Urnl_G_Tot","Urnl_G_Func","Toilet_RunWat_B","Toilet_RunWat_G","Urnl_RunWater_B","Urnl_RunWater_G","HandwashFac_Toilet/Urnl","IncerAvail_GToilet","DrnkWater_Avail","HandPump_Avail","HandPump_Func","ProtWell_Avail","ProtWell_Func","UnprotWell_Avail","UnprotWell_Func","TapWater_Avail","TapWater_Func","Pkg/BtldWater_Avail","Pkg/BtldWater_Func","OthrDrnkWaterSrc_Avail","OthrDrnkWaterSrc_Func","WaterPurf/RO","WaterQltyTesting","RainWaterHarv","HandwashFac_After_Meal","No.ofWashPnts","Elect_Con","SolarPnl","Library","Lib_Books","Lib_NCERT","BookBank","BookBank_Books","BookBank_NCERT","ReadingCorner","No.OfBooks_RC","FTLibrarian","Nwsp/Mag","Playgrnd_Fac","SchlArrngmt_Playing","MdlCheckup _LstYr","Med_Check_Cond_LastYear","De-Worming_Tblt","Iron&FolicAcid_Tblts","RampAvail","Avail_Hand-Rails_Ramp","Spcl_Educator_Avail","Kitc_Gard_Avail","EachClsRms_Dustbin","Toilet_Dustbin","Kitchen_Dustbin","StudNo_Fur","School Type","C0B","C0G","C1B","C1G","C2B","C2G","C3B","C3G","C4B","C4G","C5B","C5G","C6B","C6G","C7B","C7G","C8B","C8G","C9B","C9G","C10B","C10G","C11B","C11G","C12B","C12G","total","Tot B_0-12","Tot G_0-12","teachers","classrooms","enrol less than 10","more than 100","more than 50"
"Pune","27251400101","PMC SCHOOL NO. 54 B","17","1","2725","272514","Aundh","2725140001","Aundh CRC No. 1","272514001","AUNDH GAON","2-Urban","3-Government","2","2","0","0","0","0","0","1-Pucca","6","6","0","1","5","0","0","0","2","6","0","0","0","0","0","0","0","0","0","0","0","2-No","1-Yes","1-Yes","2","2","3","3","1","1","0","0","9","9","8","8","3","3","9","8","1-Yes","NA","1-Yes","2-No","NA","2-No","NA","2-No","NA","1-Yes","1-Yes","2-No","NA","2-No","NA","1-Yes","1-Yes","2-No","1-Yes","11","1-Yes","2-No","1-Yes","1610","0","1-Yes","0","0","1-Yes","400","2-No","2-No","1-Yes","NA","1-Yes","1","2-Partially(One dose)","1-Yes","1-Yes","2-No","3-No","2-No","1","1-Yes","2-No","194","3-Co-educational","16","19","16","17","16","17","15","21","14","16","9","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","159","86","108","6","6","0","1","1"
"Pune","27251400103","PMC SCHOOL NO. 87 B","17","2","2725","272514","Aundh","2725140001","Aundh CRC No. 1","272514001","AUNDH GAON","2-Urban","3-Government","1","1","0","0","0","0","0","1-Pucca","13","0","0","2","5","6","0","0","2","13","0","0","0","0","0","0","0","0","0","0","0","2-No","1-Yes","1-Yes","6","6","6","6","1","1","1","1","10","10","12","12","6","5","0","0","1-Yes","2-No","1-Yes","2-No","NA","2-No","NA","2-No","NA","1-Yes","1-Yes","2-No","NA","2-No","NA","1-Yes","1-Yes","2-No","2-No","0","1-Yes","2-No","1-Yes","1548","0","1-Yes","0","0","1-Yes","350","2-No","2-No","1-Yes","NA","1-Yes","1","1-Complete(Two doses)","1-Yes","1-Yes","1-Yes","2-At Cluster level","2-No","1","1-Yes","2-No","408","3-Co-educational","30","16","23","13","23","13","20","19","16","14","26","12","32","34","27","40","27","27","0","0","0","0","0","0","0","0","366","224","188","13","13","0","1","1"
"Pune","27251400104","PMC SCHOOL NO. 54 B ENGLISH","17","2","2725","272514","Aundh","2725140001","Aundh CRC No. 1","272514001","AUNDH GAON","2-Urban","3-Government","2","2","0","0","0","0","0","1-Pucca","10","0","0","2","5","3","0","0","1","10","0","0","0","0","0","0","0","0","0","0","0","1-Yes","1-Yes","1-Yes","2","2","3","3","1","1","0","0","9","9","8","8","3","3","9","8","1-Yes","3-Yes , but not functional","1-Yes","2-No","NA","2-No","NA","2-No","NA","1-Yes","1-Yes","2-No","NA","2-No","NA","1-Yes","1-Yes","2-No","1-Yes","11","1-Yes","2-No","2-No","0","0","2-No","0","0","1-Yes","130","2-No","2-No","1-Yes","NA","1-Yes","2","1-Complete(Two doses)","1-Yes","1-Yes","1-Yes","3-No","2-No","1","1-Yes","2-No","230","3-Co-educational","35","42","16","16","16","23","14","23","19","13","17","12","13","5","10","17","0","0","0","0","0","0","0","0","0","0","214","140","151","5","10","0","1","1"
"Pune","27251400105","RAYAT SHIKSHAN SANSTHA PRI.","4","1","2725","272514","Aundh","2725140001","Aundh CRC No. 1","272514001","AUNDH GAON","2-Urban","1-Private","1","1","0","0","0","0","0","1-Pucca","4","0","0","0","4","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","1-Yes","1-Yes","1-Yes","0","0","0","0","1","1","1","1","8","8","8","8","0","0","0","0","1-Yes","NA","1-Yes","2-No","NA","2-No","NA","2-No","NA","1-Yes","1-Yes","2-No","NA","2-No","NA","2-No","1-Yes","2-No","1-Yes","1","1-Yes","2-No","2-No","0","0","1-Yes","900","0","2-No","0","2-No","1-Yes","1-Yes","NA","1-Yes","1","3-Not Given","2-No","1-Yes","2-No","3-No","2-No","1","1-Yes","1-Yes","154","3-Co-educational","0","0","10","9","25","15","21","14","18","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","136","74","62","4","4","0","1","1"
"Pune","27251400106","DR. KALMADI SHAMARAO HIGH SCHOOL","27","1","2725","272514","Aundh","2725140001","Aundh CRC No. 1","272514001","AUNDH GAON","2-Urban","1-Private","14","14","0","0","0","0","0","1-Pucca","14","0","0","5","9","0","0","0","6","14","0","0","0","0","0","0","0","0","0","0","0","1-Yes","1-Yes","1-Yes","6","6","6","6","4","4","4","4","19","19","0","0","10","10","19","0","1-Yes","NA","1-Yes","1-Yes","1-Yes","2-No","NA","2-No","NA","1-Yes","1-Yes","2-No","NA","2-No","NA","1-Yes","2-No","1-Yes","1-Yes","12","1-Yes","2-No","1-Yes","2482","0","2-No","0","0","2-No","0","1-Yes","1-Yes","1-Yes","NA","1-Yes","1","1-Complete(Two doses)","1-Yes","1-Yes","1-Yes","1- Dedicated","2-No","1","1-Yes","1-Yes","320","3-Co-educational","77","68","65","42","29","43","36","36","42","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","320","249","216","13","14","0","1","1"
"Pune","27251400107","DR. KALMADI SHAMARAO HIGH SCHOOL","27","6","2725","272514","Aundh","2725140001","Aundh CRC No. 1","272514001","AUNDH GAON","2-Urban","2-Rented","6","6","0","0","0","0","0","1-Pucca","6","0","0","0","0","3","3","0","7","6","0","0","0","0","0","0","0","0","0","0","0","1-Yes","1-Yes","1-Yes","4","4","11","11","1","1","0","0","14","14","11","11","0","0","0","0","1-Yes","3-Yes , but not functional","1-Yes","1-Yes","1-Yes","2-No","NA","2-No","NA","1-Yes","1-Yes","2-No","NA","2-No","NA","1-Yes","1-Yes","1-Yes","1-Yes","6","1-Yes","2-No","1-Yes","2482","0","2-No","0","0","2-No","0","1-Yes","1-Yes","1-Yes","NA","1-Yes","1","1-Complete(Two doses)","1-Yes","1-Yes","2-No","1- Dedicated","2-No","1","1-Yes","1-Yes","212","3-Co-educational","0","0","0","0","0","0","0","0","0","0","31","31","29","16","35","17","27","26","0","0","0","0","0","0","0","0","212","122","90","10","6","0","1","1"
"Pune","27251400108","D A V PUBLIC SCHOOL","19","3","2725","272514","Aundh","2725140001","Aundh CRC No. 1","272514001","AUNDH GAON","2-Urban","1-Private","2","2","0","0","0","0","0","1-Pucca","112","0","0","12","36","31","21","12","112","112","0","0","0","0","0","0","0","0","0","0","0","2-No","1-Yes","1-Yes","17","17","17","17","0","0","0","0","62","62","62","62","17","17","62","62","1-Yes","1-Yes","1-Yes","2-No","NA","2-No","NA","2-No","NA","1-Yes","1-Yes","2-No","NA","2-No","NA","1-Yes","1-Yes","2-No","1-Yes","30","1-Yes","2-No","1-Yes","19964","0","1-Yes","0","0","2-No","0","1-Yes","1-Yes","1-Yes","NA","1-Yes","1","3-Not Given","2-No","1-Yes","1-Yes","3-No","2-No","1","1-Yes","2-No","6398","3-Co-educational","588","502","249","209","262","223","273","212","269","229","260","231","241","240","263","200","263","219","299","223","281","210","121","115","106","110","5308","3475","2923","195","112","0","1","1"
"Pune","27251400109","ARJAN WATUMULL SINDHU VIDYA BHAVAN PRIMARY","27","2","2725","272514","Aundh","2725140001","Aundh CRC No. 1","272514001","AUNDH GAON","2-Urban","1-Private","1","1","0","0","0","0","0","1-Pucca","14","0","0","0","10","4","0","0","11","14","0","0","0","0","0","0","0","0","0","0","0","1-Yes","1-Yes","1-Yes","13","13","15","15","0","0","0","0","15","15","0","0","13","15","15","0","1-Yes","2-No","1-Yes","2-No","NA","1-Yes","1-Yes","2-No","NA","1-Yes","1-Yes","2-No","NA","2-No","NA","1-Yes","1-Yes","1-Yes","1-Yes","12","1-Yes","1-Yes","1-Yes","5700","0","1-Yes","0","0","2-No","0","1-Yes","1-Yes","1-Yes","NA","1-Yes","1","2-Partially(One dose)","2-No","1-Yes","1-Yes","2-At Cluster level","1-Yes","1","1-Yes","1-Yes","673","3-Co-educational","132","123","48","46","50","48","48","51","53","40","60","41","49","48","47","45","0","0","0","0","0","0","0","0","0","0","674","487","442","26","14","0","1","1"
"Pune","27251400110","ARJAN WATUMULL SINDHU VIDYABHAVAN SECONDARY","27","7","2725","272514","Aundh","2725140001","Aundh CRC No. 1","272514001","AUNDH GAON","2-Urban","1-Private","1","1","0","0","0","0","0","1-Pucca","6","0","0","0","0","2","4","0","6","6","0","0","0","0","0","0","0","0","0","0","0","1-Yes","1-Yes","1-Yes","13","13","15","15","0","0","0","0","15","15","0","0","13","15","13","0","1-Yes","1-Yes","1-Yes","2-No","NA","1-Yes","1-Yes","2-No","NA","1-Yes","1-Yes","2-No","NA","2-No","NA","1-Yes","1-Yes","1-Yes","1-Yes","12","1-Yes","1-Yes","1-Yes","5700","0","2-No","0","0","2-No","0","1-Yes","1-Yes","1-Yes","NA","1-Yes","1","2-Partially(One dose)","2-No","1-Yes","1-Yes","2-At Cluster level","1-Yes","1","1-Yes","1-Yes","287","3-Co-educational","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","57","42","46","54","44","44","0","0","0","0","287","147","140","9","6","0","1","1"
"Pune","27251400111","DR. BABASAHEB AMBEDKAR JR. COLLEGE","19","11","2725","272514","Aundh","2725140001","Aundh CRC No. 1","272514001","AUNDH GAON","2-Urban","1-Private","1","1","0","0","0","0","0","1-Pucca","6","0","0","0","0","0","0","6","21","6","0","0","0","0","0","0","0","0","0","0","0","1-Yes","1-Yes","1-Yes","2","2","2","2","2","2","2","2","2","2","2","2","0","0","0","0","1-Yes","1-Yes","1-Yes","1-Yes","2-No","2-No","NA","2-No","NA","1-Yes","1-Yes","2-No","NA","2-No","NA","1-Yes","1-Yes","2-No","1-Yes","10","1-Yes","1-Yes","1-Yes","8791","45","2-No","0","0","1-Yes","2","1-Yes","1-Yes","1-Yes","NA","1-Yes","2","3-Not Given","2-No","1-Yes","1-Yes","3-No","1-Yes","1","1-Yes","2-No","482","3-Co-educational","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","131","99","144","108","482","275","207","10","6","0","1","1"
